theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
1.000000000000000000e+01,5.758770483143634067e+01,1.015426611885744990e+01,-5.700177329282418270e+00,3.124961561330323601e-02
1.004504504504504503e+01,5.733209750078800226e+01,1.015567709319228840e+01,-5.648903365367617724e+00,3.139766159215510999e-02
1.009009009009009006e+01,5.707878433138979091e+01,1.015709473853070577e+01,-5.598314521531905896e+00,3.154580825690907891e-02
1.013513513513513509e+01,5.682773473671458930e+01,1.015851905941955735e+01,-5.548398644735390128e+00,3.169405611632961084e-02
1.018018018018018012e+01,5.657891867160027033e+01,1.015995006042863658e+01,-5.499143850214455398e+00,3.184240567998646715e-02
1.022522522522522515e+01,5.633230662032536884e+01,1.016138774615070517e+01,-5.450538514406432000e+00,3.199085745825909488e-02
1.027027027027027017e+01,5.608786958499853625e+01,1.016283212120153934e+01,-5.402571268091000078e+00,3.213941196234118558e-02
1.031531531531531520e+01,5.584557907425223533e+01,1.016428319021995286e+01,-5.355230989740801917e+00,3.228806970424499823e-02
1.036036036036036023e+01,5.560540709223133149e+01,1.016574095786784682e+01,-5.308506799073955840e+00,3.243683119680597360e-02
1.040540540540540526e+01,5.536732612786773444e+01,1.016720542883023981e+01,-5.262388050801562578e+00,3.258569695368712660e-02
1.045045045045045029e+01,5.513130914443239305e+01,1.016867660781530880e+01,-5.216864328563419306e+00,3.273466748938361204e-02
1.049549549549549532e+01,5.489732956935637276e+01,1.017015449955442108e+01,-5.171925439045554462e+00,3.288374331922721411e-02
1.054054054054054035e+01,5.466536128431287267e+01,1.017163910880217870e+01,-5.127561406273348332e+00,3.303292495939087053e-02
1.058558558558558538e+01,5.443537861555257251e+01,1.017313044033645753e+01,-5.083762466074285946e+00,3.318221292689321755e-02
1.063063063063063041e+01,5.420735632448452890e+01,1.017462849895843391e+01,-5.040519060704588661e+00,3.333160773960316958e-02
1.067567567567567544e+01,5.398126959849568607e+01,1.017613328949263618e+01,-4.997821833634236377e+00,3.348110991624443644e-02
1.072072072072072046e+01,5.375709404200174646e+01,1.017764481678697663e+01,-4.955661624485031780e+00,3.363071997640017241e-02
1.076576576576576549e+01,5.353480566772276461e+01,1.017916308571279060e+01,-4.914029464116633328e+00,3.378043844051747263e-02
1.081081081081081052e+01,5.331438088817672849e+01,1.018068810116487910e+01,-4.872916569855568092e+00,3.393026582991208462e-02
1.085585585585585555e+01,5.309579650738506729e+01,1.018221986806154433e+01,-4.832314340862585489e+00,3.408020266677296017e-02
1.090090090090090058e+01,5.287902971278371922e+01,1.018375839134462701e+01,-4.792214353633698742e+00,3.423024947416688363e-02
1.094594594594594561e+01,5.266405806733395423e+01,1.018530367597955255e+01,-4.752608357630576208e+00,3.438040677604319029e-02
1.099099099099099064e+01,5.245085950182716772e+01,1.018685572695537012e+01,-4.713488271036022859e+00,3.453067509723833223e-02
1.103603603603603567e+01,5.223941230737820263e+01,1.018841454928478640e+01,-4.674846176630496508e+00,3.468105496348061756e-02
1.108108108108108070e+01,5.202969512810163621e+01,1.018998014800420826e+01,-4.636674317785702826e+00,3.483154690139484561e-02
